code,Region Name,Sub-region Name,country,slope,error,number_of_points,start_date,end_date,r0,r0_error,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
ESP,Europe,Southern Europe,Spain,0.33866,0.013927000000000002,12,2020-03-05,2020-03-16,5.352444501650181,0.33953843468676714,13.928958718587475,13.653122576194146,13.270331559207596,12.884670410593467,12.167988750195615,11.314320550864462,9.880388651914917,8.01709528325846,5.924647846925758
EST,Europe,Northern Europe,Estonia,0.03931880000000001,0.00581249,24,2020-03-17,2020-04-09,1.2337607712774046,0.03790802741465379,14.114879341457037,13.824732603598154,13.530158270580802,13.202180450305093,12.231908246571304,11.012588294516606,9.561641910799013,8.029548586736167,6.313246864941442
ETH,Africa,Sub-Saharan Africa,Ethiopia,0.041988,0.00308698,34,2020-05-24,2020-06-26,1.251279586135392,0.020389423253288675,28.03137601482621,27.451656411207804,23.998607572644385,16.534620866928,11.85164154634509,9.746750201963783,7.836665416903433,6.1654651319914935,4.615338782452949
FIN,Europe,Northern Europe,Finland,0.0523313,0.00368948,31,2020-03-14,2020-04-13,1.3212971355825567,0.025590774154270395,13.72054249242925,13.402313756395607,13.02615212177113,12.468564626857221,11.87315811246942,11.217036133683985,9.574951438474173,8.193447276140446,7.108061658636544
FRA,Europe,Western Europe,France,0.192858,0.00620615,20,2020-03-04,2020-03-23,2.6912550614657924,0.08157371235301643,14.049392329146063,13.78340153479083,13.373139147323894,12.694456712669492,11.34019640633033,10.263496003578613,8.927591620220344,7.511043673636698,5.7720548113232155
GBR,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,0.184385,0.00474393,24,2020-03-05,2020-03-28,2.5819337921169967,0.06007359688187193,11.679427607794695,11.52428996362114,11.194954171327266,10.65812487091222,8.618545666226405,7.7094865180840895,6.6273629283163835,5.698697967803278,4.6038476845355945
GEO,Asia,Western Asia,Georgia,0.0588817,0.000960658,68,2020-09-08,2020-11-14,1.367440032552975,0.006871988238774193,15.693178716409811,15.531807084664715,15.180045204427238,14.500861915112612,12.094752331116876,10.715905409122387,9.200424728702243,7.73649948620484,6.155546083866782
GHA,Africa,Sub-Saharan Africa,Ghana,0.0700693,0.00319379,33,2020-04-12,2020-05-14,1.4496069465043628,0.02407636321761138,20.972695821678737,20.140987701261825,18.18811255340293,15.652938067875242,11.5654557542773,9.807597920884202,8.054183456171717,6.459553133879541,4.816562739590632
GIN,Africa,Sub-Saharan Africa,Guinea,-0.00310406,0.000183365,237,2020-04-14,2020-12-06,0.9833637441410056,0.0009753569197588782,25.35893923904423,24.8240413266397,23.35523056423787,19.579835532524942,10.382479244862397,8.399431024985567,7.062717698353195,5.815741457484404,4.447685078518711
GRC,Europe,Southern Europe,Greece,0.0408546,0.00554626,24,2020-03-15,2020-04-07,1.2438135981229463,0.03643644322927619,13.909779705646054,13.786576750552301,13.351044908902944,12.618119575864444,11.184781624725831,10.34914323202384,8.980589782860328,7.2957400935656525,5.421452124905852
