code,country,slope,error,number_of_points,start_date,end_date
PRT,Portugal,0.210581,0.010245,15,2020-03-15,2020-03-29
PRY,Paraguay,-0.10346,0.00812905,21,2020-05-08,2020-05-28
PSE,Palestine,0.0155414,0.000574163,97,2020-06-20,2020-09-24
QAT,Qatar,0.0959307,0.0364788,7,2020-03-11,2020-03-17
ROU,Romania,0.148521,0.00816734,18,2020-03-18,2020-04-04
RUS,Russia,0.154026,0.00301053,32,2020-03-21,2020-04-21
RWA,Rwanda,0.0105426,0.00325649,36,2020-06-29,2020-08-03
SAU,Saudi Arabia,0.0850902,0.00193475,44,2020-03-19,2020-05-01
SDN,Sudan,0.0630191,0.00377681,30,2020-04-28,2020-05-27
SEN,Senegal,0.00419978,0.000435572,126,2020-04-25,2020-08-28
SGP,Singapore,0.0441664,0.00798226,19,2020-03-21,2020-04-08
SLE,Sierra Leone,-0.0129008,0.000418373,175,2020-05-25,2020-11-15
SLV,El Salvador,0.0252597,0.000574263,102,2020-05-04,2020-08-13
SMR,San Marino,0.00488617,0.00575298,25,2020-11-13,2020-12-07
SOM,Somalia,0.00293621,0.00154605,58,2020-04-21,2020-06-17
SRB,Serbia,0.0900101,0.00427712,27,2020-03-24,2020-04-19
SSD,South Sudan,0.108126,0.0289146,8,2020-05-21,2020-05-28
STP,Sao Tome and Principe,-0.0379048,0.0922555,4,2020-05-29,2020-06-01
SUR,Suriname,0.0247656,0.00256592,40,2020-07-16,2020-08-24
SVK,Slovakia,0.0240235,0.00821214,19,2020-04-07,2020-04-25
SVN,Slovenia,-0.0140558,0.00323355,37,2020-03-16,2020-04-21
SWE,Sweden,0.0690519,0.00256826,37,2020-03-08,2020-04-13
SWZ,Swaziland,-0.0156867,0.000448113,139,2020-07-06,2020-11-21
SYR,Syria,0.00176319,0.000457254,125,2020-08-05,2020-12-07
THA,Thailand,0.0504704,0.00895579,17,2020-03-20,2020-04-05
TJK,Tajikistan,-0.00522219,0.000202349,218,2020-05-04,2020-12-07
TTO,Trinidad and Tobago,0.023086,0.00239867,41,2020-08-15,2020-09-24
TUN,Tunisia,-0.0454101,0.00295534,42,2020-03-28,2020-05-08
TUR,Turkey,0.294286,0.0132684,12,2020-03-20,2020-03-31
UGA,Uganda,-0.0260022,0.00173851,61,2020-05-30,2020-07-29
UKR,Ukraine,0.017778,0.000120271,256,2020-03-27,2020-12-07
URY,Uruguay,0.0371109,0.00168005,52,2020-10-17,2020-12-07
USA,United States,0.295904,0.0055655,21,2020-03-06,2020-03-26
UZB,Uzbekistan,-0.0113905,0.00184314,50,2020-04-06,2020-05-25
VEN,Venezuela,0.0340377,0.000609977,95,2020-05-19,2020-08-21
VNM,Vietnam,-0.0931253,0.00511112,35,2020-08-03,2020-09-06
YEM,Yemen,-0.0260496,0.000885122,103,2020-06-13,2020-09-23
ZAF,South Africa,0.0499178,0.000397438,120,2020-03-22,2020-07-19
ZMB,Zambia,-0.0612695,0.00677146,22,2020-05-12,2020-06-02
ZWE,Zimbabwe,0.0611097,0.00361939,31,2020-07-08,2020-08-07
