ISO-alpha3 Code,country,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
EST,Estonia,14.114879341457039,13.824732603598157,13.5301582705808,13.202180450305093,12.231908246571303,11.012588294516608,9.561641910799013,8.029548586736167,6.313246864941442
ETH,Ethiopia,28.031376014826215,27.451656411207804,23.998607572644385,16.534620866928,11.851641546345093,9.746750201963785,7.836665416903433,6.165465131991494,4.615338782452949
FIN,Finland,13.72054249242925,13.402313756395609,13.02615212177113,12.46856462685722,11.87315811246942,11.217036133683985,9.574951438474173,8.193447276140446,7.108061658636544
FJI,Fiji,19.57731598743101,19.34183855901474,18.4973905769804,16.182430515386834,10.129639606405833,7.872906110757745,6.156530043872721,4.757920416203806,3.435956208689004
FRA,France,14.049392329146064,13.78340153479083,13.373139147323894,12.694456712669492,11.34019640633033,10.263496003578613,8.927591620220344,7.511043673636699,5.772054811323216
GBR,United Kingdom of Great Britain and Northern Ireland,11.679427607794697,11.52428996362114,11.194954171327266,10.658124870912221,8.618545666226405,7.7094865180840895,6.627362928316383,5.698697967803279,4.603847684535595
GEO,Georgia,15.693178716409813,15.531807084664717,15.180045204427238,14.500861915112612,12.094752331116878,10.715905409122389,9.200424728702245,7.73649948620484,6.155546083866783
GHA,Ghana,20.97269582167874,20.140987701261825,18.18811255340293,15.652938067875242,11.5654557542773,9.807597920884202,8.054183456171717,6.459553133879541,4.816562739590632
GIN,Guinea,25.358939239044226,24.8240413266397,23.35523056423787,19.57983553252494,10.382479244862395,8.399431024985567,7.062717698353195,5.815741457484404,4.4476850785187105
GRC,Greece,13.909779705646056,13.7865767505523,13.351044908902942,12.618119575864442,11.18478162472583,10.34914323202384,8.980589782860328,7.295740093565652,5.421452124905851
GTM,Guatemala,24.9629428584787,24.4645415716023,21.958112628526738,16.85912879005055,8.978630550058046,6.818695835058959,5.351142902728978,4.111951703503114,3.0252082144159953
GUY,Guyana,21.736052013147336,21.62548986797799,21.39585321925127,20.202087780287137,9.277826903033601,7.489202651477856,6.25527262165304,5.008848157987053,3.7018224520277903
HKG,HKG,15.997394980253937,15.939444351062912,15.79631324883441,15.253820602911041,12.354618658876255,11.20599761675865,9.653642604100865,8.034373732932789,6.346663205865861
HND,Honduras,22.46958671516854,21.968955352949,20.457087398553114,17.30543214357924,9.917654183114848,7.889199828945006,6.252587608427515,4.838615252781913,3.5333900660601794
HRV,Croatia,13.614430716665723,13.464449644148731,13.18360001933404,12.31557817467581,10.666034892108572,9.677086162355083,8.190280768701903,6.692961756991994,5.280950271849206
HTI,Haiti,20.712996699091832,20.26737058924766,18.65381875379163,15.8733704538685,11.430490187213895,9.433133242013437,7.570280735237786,6.02667631392706,4.5722248454329435
HUN,Hungary,13.712442023482808,13.522874376318462,13.212816915344458,12.688076922712266,11.312127641044407,10.406380578968067,9.210380502554932,7.545662414483731,5.5391196386156
IDN,Indonesia,18.69663670005632,18.49897472425964,17.96252855881587,16.454638384667625,11.388487840402577,9.734076385376884,8.035253627762213,6.360799080081059,4.644153312292499
IND,India,19.406031886777363,19.128949313607407,18.04469164170775,16.297362674730163,10.364367935340624,8.134156337377474,6.461884045573889,5.016256923322308,3.6151337948682234
IRL,Ireland,14.849415984182034,14.57979847952081,13.768902806046517,12.447452899969825,11.064067288217839,10.12037727114804,8.611088350844721,6.800360006558109,5.028463309618716
IRN,Iran (Islamic Republic of),18.03813715045031,17.839628046129032,17.36461402939547,16.358695311953472,11.588585417427595,8.38125609989531,5.659657080622901,3.930078379453345,2.621482304365368
